OTUid,domain,v1,phylum,v2,class,v3,order,v4,family,v5,genera,v6
OTU_1,Bacteria,100%,Firmicutes,100%,Bacilli,100%,Bacillales,97%,Planococcaceae,66%,Viridibacillus,30%
OTU_2,Bacteria,100%,Bacteroidetes,100%,Sphingobacteriia,100%,Sphingobacteriales,100%,Sphingobacteriaceae,100%,Pedobacter,99%
OTU_3,Bacteria,100%,Proteobacteria,100%,Gammaproteobacteria,100%,Enterobacteriales,100%,Enterobacteriaceae,100%,Pantoea,58%
OTU_4,Bacteria,100%,Proteobacteria,100%,Gammaproteobacteria,100%,Pseudomonadales,100%,Pseudomonadaceae,100%,Pseudomonas,99%
OTU_5,Bacteria,100%,Bacteroidetes,100%,Sphingobacteriia,96%,Sphingobacteriales,96%,Chitinophagaceae,88%,Heliimonas,33%
OTU_6,Bacteria,100%,Proteobacteria,100%,Alphaproteobacteria,100%,Rhizobiales,100%,Rhizobiaceae,96%,Rhizobium,78%
OTU_7,Bacteria,100%,Proteobacteria,100%,Alphaproteobacteria,100%,Caulobacterales,100%,Caulobacteraceae,100%,Brevundimonas,100%
OTU_8,Bacteria,100%,Proteobacteria,100%,Gammaproteobacteria,100%,Pseudomonadales,98%,Pseudomonadaceae,98%,Pseudomonas,91%
OTU_9,Bacteria,100%,Bacteroidetes,100%,Sphingobacteriia,100%,Sphingobacteriales,100%,Chitinophagaceae,100%,Chitinophaga,100%
OTU_10,Bacteria,100%,Bacteroidetes,100%,Flavobacteriia,100%,Flavobacteriales,100%,Flavobacteriaceae,100%,Flavobacterium,96%
OTU_11,Bacteria,100%,Bacteroidetes,100%,Sphingobacteriia,92%,Sphingobacteriales,92%,Chitinophagaceae,91%,Heliimonas,29%
OTU_12,Bacteria,100%,Proteobacteria,100%,Gammaproteobacteria,100%,Xanthomonadales,98%,Sinobacteraceae,98%,Steroidobacter,96%
OTU_13,Bacteria,100%,Proteobacteria,100%,Alphaproteobacteria,100%,Rhizobiales,100%,Rhizobiaceae,100%,Shinella,88%
OTU_14,Bacteria,100%,Bacteroidetes,100%,Sphingobacteriia,100%,Sphingobacteriales,100%,Chitinophagaceae,100%,Flavisolibacter,97%
