Row.names,Environment,Type,Invader_Type,Resident_Type
AASL1R1,Litter,Invader_Inoculum,A,None
AASL1R2,Litter,Invader_Inoculum,A,None
AASLI4C,Litter,Invader_Inoculum,A,None
ADLL14B,Litter,Invader_Inoculum,D,None
ADLL1R1,Litter,Invader_Inoculum,D,None
ADLL1R2,Litter,Invader_Inoculum,D,None
ADLLI1A,Litter,Invader_Inoculum,D,None
ADLLI1B,Litter,Invader_Inoculum,D,None
ADLLI4A,Litter,Invader_Inoculum,D,None
ADLLI4B,Litter,Invader_Inoculum,D,None
APFL1R2,Litter,Invader_Inoculum,P,None
APFL1R3,Litter,Invader_Inoculum,P,None
APFL4R2,Litter,Invader_Inoculum,P,None
APFL4R3,Litter,Invader_Inoculum,P,None
APFLR3A,Litter,Invader_Inoculum,P,None
APFLR3B,Litter,Invader_Inoculum,P,None
APFLS01,Litter,Resident_Control,None,P
APLF002,Litter,Resident_Control,None,P
APLF003,Litter,Resident_Control,None,P
APLFR1A,Litter,Invader_Inoculum,P,None
APLFR1B,Litter,Invader_Inoculum,P,None
APLFR2A,Litter,Invader_Inoculum,P,None
APLFR2B,Litter,Invader_Inoculum,P,None
AUEL1R1,Litter,Invader_Inoculum,U,None
AUEL1R2,Litter,Invader_Inoculum,U,None
AUEL4R1,Litter,Invader_Inoculum,U,None
AUEL4R2,Litter,Invader_Inoculum,U,None
AUEL4R3,Litter,Invader_Inoculum,U,None
BASL1R1,Litter,Invader_Inoculum,A,None
BASL1R2,Litter,Invader_Inoculum,A,None
BASLI4B,Litter,Invader_Inoculum,A,None
BASLI4C,Litter,Invader_Inoculum,A,None
BDDL1R2,Litter,Invader_Inoculum,D,None
BDDLI1A,Litter,Invader_Inoculum,D,None
BDDLI1B,Litter,Invader_Inoculum,D,None
BDDLI4A,Litter,Invader_Inoculum,D,None
BDDLI4C,Litter,Invader_Inoculum,D,None
BPFL1R1,Litter,Invader_Inoculum,P,None
BPFL1R2,Litter,Invader_Inoculum,P,None
BPFLI4B,Litter,Invader_Inoculum,P,None
BPFLI4C,Litter,Invader_Inoculum,P,None
BUEL1R1,Litter,Invader_Inoculum,U,None
BUEL1R2,Litter,Invader_Inoculum,U,None
BUELI4B,Litter,Invader_Inoculum,U,None
BUELR1A,Litter,Invader_Inoculum,U,None
BUELR1B,Litter,Invader_Inoculum,U,None
BUELR2A,Litter,Invader_Inoculum,U,None
BUELR2B,Litter,Invader_Inoculum,U,None
BUELR3A,Litter,Invader_Inoculum,U,None
BUELR3B,Litter,Invader_Inoculum,U,None
BUELS01,Litter,Resident_Control,None,U
BUELS02,Litter,Resident_Control,None,U
BUELS03,Litter,Resident_Control,None,U
CASM14B,Media,Invader_Inoculum,A,None
CASM1R1,Media,Invader_Inoculum,A,None
CASMI4C,Media,Invader_Inoculum,A,None
CDLM1R1,Media,Invader_Inoculum,D,None
CDLM1R2,Media,Invader_Inoculum,D,None
CDLMI4B,Media,Invader_Inoculum,D,None
CDLMI4C,Media,Invader_Inoculum,D,None
CPFM1R1,Media,Invader_Inoculum,P,None
CPFMI4A,Media,Invader_Inoculum,P,None
CPFMI4B,Media,Invader_Inoculum,P,None
CPFMR1A,Media,Invader_Inoculum,P,None
CPFMR1B,Media,Invader_Inoculum,P,None
CPFMR2A,Media,Invader_Inoculum,P,None
CPFMR2B,Media,Invader_Inoculum,P,None
CPFMR3A,Media,Invader_Inoculum,P,None
CPFMR3B,Media,Invader_Inoculum,P,None
CPFMS04,Media,Resident_Control,None,P
CPFMS05,Media,Resident_Control,None,P
CPFMS06,Media,Resident_Control,None,P
CPRM1R2,Media,Invader_Inoculum,P,None
CUEM1R1,Media,Invader_Inoculum,U,None
CUEM1R2,Media,Invader_Inoculum,U,None
CUEMI4B,Media,Invader_Inoculum,U,None
CUEMI4C,Media,Invader_Inoculum,U,None
DASM1R1,Media,Invader_Inoculum,A,None
DASM1R2,Media,Invader_Inoculum,A,None
DASMI4B,Media,Invader_Inoculum,A,None
DASMI4C,Media,Invader_Inoculum,A,None
DDLM1R2,Media,Invader_Inoculum,D,None
DDLMI4B,Media,Invader_Inoculum,D,None
DDLMI4C,Media,Invader_Inoculum,D,None
DPFM1R1,Media,Invader_Inoculum,P,None
DPFM1R2,Media,Invader_Inoculum,P,None
DPFMI4B,Media,Invader_Inoculum,P,None
DPFMI4C,Media,Invader_Inoculum,P,None
DUEM1R1,Media,Invader_Inoculum,U,None
DUEM1R2,Media,Invader_Inoculum,U,None
DUEMI4B,Media,Invader_Inoculum,U,None
DUEMI4C,Media,Invader_Inoculum,U,None
DUEMR1A,Media,Invader_Inoculum,U,None
DUEMR3A,Media,Invader_Inoculum,U,None
DUEMR3B,Media,Invader_Inoculum,U,None
DUEMS04,Media,Resident_Control,None,U
DUEMS05,Media,Resident_Control,None,U
DUEMS06,Media,Resident_Control,None,U
NAAPHF2,Litter,Final_Invaded,A,P
NAAPHF3,Litter,Final_Invaded,A,P
NAAPHO1,Litter,Final_Invaded,A,P
NAAPHO2,Litter,Final_Invaded,A,P
NAAPHO3,Litter,Final_Invaded,A,P
NAAPKK1,Litter,Resident_Control,Killed,P
NAAPKK2,Litter,Resident_Control,Killed,P
NAAPLF1,Litter,Final_Invaded,A,P
NAAPLF2,Litter,Final_Invaded,A,P
NAAPLF3,Litter,Final_Invaded,A,P
NAAPLO1,Litter,Final_Invaded,A,P
NAAPLO2,Litter,Final_Invaded,A,P
NAAPLO3,Litter,Final_Invaded,A,P
NADPHF1,Litter,Final_Invaded,D,P
NADPHF2,Litter,Final_Invaded,D,P
NADPHF3,Litter,Final_Invaded,D,P
NADPHO2,Litter,Final_Invaded,D,P
NADPHO3,Litter,Final_Invaded,D,P
NADPKK1,Litter,Resident_Control,Killed,P
NADPKK2,Litter,Resident_Control,Killed,P
NADPKK3,Litter,Resident_Control,Killed,P
NADPLF1,Litter,Final_Invaded,D,P
NADPLF2,Litter,Final_Invaded,D,P
NADPLF3,Litter,Final_Invaded,D,P
NADPLO1,Litter,Final_Invaded,D,P
NADPLO2,Litter,Final_Invaded,D,P
NADPLO3,Litter,Final_Invaded,D,P
NAPPHF1,Litter,Resident_Control,P,P
NAPPHF2,Litter,Resident_Control,P,P
NAPPHF3,Litter,Resident_Control,P,P
NAPPHO1,Litter,Resident_Control,P,P
NAPPHO2,Litter,Resident_Control,P,P
NAPPHO3,Litter,Resident_Control,P,P
NAPPKK1,Litter,Resident_Control,Killed,P
NAPPKK2,Litter,Resident_Control,Killed,P
NAPPKK3,Litter,Resident_Control,Killed,P
NAPPLF1,Litter,Resident_Control,P,P
NAPPLF2,Litter,Resident_Control,P,P
NAPPLF3,Litter,Resident_Control,P,P
NAPPLO1,Litter,Resident_Control,P,P
NAPPLO2,Litter,Resident_Control,P,P
NAPPLO3,Litter,Resident_Control,P,P
NAUPHF1,Litter,Final_Invaded,U,P
NAUPHF2,Litter,Final_Invaded,U,P
NAUPHF3,Litter,Final_Invaded,U,P
NAUPHO1,Litter,Final_Invaded,U,P
NAUPHO2,Litter,Final_Invaded,U,P
NAUPHO3,Litter,Final_Invaded,U,P
NAUPKK1,Litter,Resident_Control,Killed,P
NAUPKK2,Litter,Resident_Control,Killed,P
NAUPKK3,Litter,Resident_Control,Killed,P
NAUPLF2,Litter,Final_Invaded,U,P
NAUPLF3,Litter,Final_Invaded,U,P
NAUPLO2,Litter,Final_Invaded,U,P
NAUPLO3,Litter,Final_Invaded,U,P
NBAUHF1,Litter,Final_Invaded,A,U
NBAUHF2,Litter,Final_Invaded,A,U
NBAUHF3,Litter,Final_Invaded,A,U
NBAUHO1,Litter,Final_Invaded,A,U
NBAUHO2,Litter,Final_Invaded,A,U
NBAUHO3,Litter,Final_Invaded,A,U
NBAUKK1,Litter,Resident_Control,Killed,U
NBAUKK2,Litter,Resident_Control,Killed,U
NBAUKK3,Litter,Resident_Control,Killed,U
NBAULF1,Litter,Final_Invaded,A,U
NBAULF2,Litter,Final_Invaded,A,U
NBAULF3,Litter,Final_Invaded,A,U
NBAULO1,Litter,Final_Invaded,A,U
NBAULO2,Litter,Final_Invaded,A,U
NBAULO3,Litter,Final_Invaded,A,U
NBDUHF1,Litter,Final_Invaded,D,U
NBDUHF3,Litter,Final_Invaded,D,U
NBDUHO1,Litter,Final_Invaded,D,U
NBDUHO2,Litter,Final_Invaded,D,U
NBDUHO3,Litter,Final_Invaded,D,U
NBDUKK1,Litter,Resident_Control,Killed,U
NBDUKK2,Litter,Resident_Control,Killed,U
NBDUKK3,Litter,Resident_Control,Killed,U
NBDULF1,Litter,Final_Invaded,D,U
NBDULF2,Litter,Final_Invaded,D,U
NBDULF3,Litter,Final_Invaded,D,U
NBDULO1,Litter,Final_Invaded,D,U
NBDULO2,Litter,Final_Invaded,D,U
NBDULO3,Litter,Final_Invaded,D,U
NBPUHF1,Litter,Final_Invaded,P,U
NBPUHF2,Litter,Final_Invaded,P,U
NBPUHF3,Litter,Final_Invaded,P,U
NBPUHO1,Litter,Final_Invaded,P,U
NBPUHO3,Litter,Final_Invaded,P,U
NBPUKK1,Litter,Resident_Control,Killed,U
NBPUKK2,Litter,Resident_Control,Killed,U
NBPUKK3,Litter,Resident_Control,Killed,U
NBPULF1,Litter,Final_Invaded,P,U
NBPULF2,Litter,Final_Invaded,P,U
NBPULF3,Litter,Final_Invaded,P,U
NBPULO1,Litter,Final_Invaded,P,U
NBPULO2,Litter,Final_Invaded,P,U
NBPULO3,Litter,Final_Invaded,P,U
NBUUHF1,Litter,Resident_Control,U,U
NBUUHF3,Litter,Resident_Control,U,U
NBUUHO1,Litter,Resident_Control,U,U
NBUUHO2,Litter,Resident_Control,U,U
NBUUHO3,Litter,Resident_Control,U,U
NBUUKK1,Litter,Resident_Control,Killed,U
NBUUKK2,Litter,Resident_Control,Killed,U
NBUUKK3,Litter,Resident_Control,Killed,U
NBUULF2,Litter,Resident_Control,U,U
NBUULF3,Litter,Resident_Control,U,U
NBUULO2,Litter,Resident_Control,U,U
NBUULO3,Litter,Resident_Control,U,U
NCAPHF1,Media,Final_Invaded,A,P
NCAPHF2,Media,Final_Invaded,A,P
NCAPHF3,Media,Final_Invaded,A,P
NCAPHO1,Media,Final_Invaded,A,P
NCAPHO2,Media,Final_Invaded,A,P
NCAPHO3,Media,Final_Invaded,A,P
NCAPKK1,Media,Resident_Control,Killed,P
NCAPKK2,Media,Resident_Control,Killed,P
NCAPKK3,Media,Resident_Control,Killed,P
NCAPLF1,Media,Final_Invaded,A,P
NCAPLF2,Media,Final_Invaded,A,P
NCAPLF3,Media,Final_Invaded,A,P
NCAPLO1,Media,Final_Invaded,A,P
NCAPLO2,Media,Final_Invaded,A,P
NCAPLO3,Media,Final_Invaded,A,P
NCDPHF1,Media,Final_Invaded,D,P
NCDPHF2,Media,Final_Invaded,D,P
NCDPHF3,Media,Final_Invaded,D,P
NCDPKK1,Media,Resident_Control,Killed,P
NCDPKK2,Media,Resident_Control,Killed,P
NCDPKK3,Media,Resident_Control,Killed,P
NCDPLF1,Media,Final_Invaded,D,P
NCDPLF2,Media,Final_Invaded,D,P
NCDPLF3,Media,Final_Invaded,D,P
NCPPHO1,Media,Resident_Control,P,P
NCPPHO2,Media,Resident_Control,P,P
NCPPHO3,Media,Resident_Control,P,P
NCPPLO1,Media,Resident_Control,P,P
NCPPLO2,Media,Resident_Control,P,P
NCUPLO3,Media,Final_Invaded,U,P
NCUPHF1,Media,Final_Invaded,U,P
NCUPHF2,Media,Final_Invaded,U,P
NCUPHF3,Media,Final_Invaded,U,P
NCUPHO1,Media,Final_Invaded,U,P
NCUPHO2,Media,Final_Invaded,U,P
NCUPHO3,Media,Final_Invaded,U,P
NCUPKK1,Media,Resident_Control,Killed,P
NCUPKK2,Media,Resident_Control,Killed,P
NCUPKK3,Media,Resident_Control,Killed,P
NCUPLF1,Media,Final_Invaded,U,P
NCUPLF2,Media,Final_Invaded,U,P
NCUPLF3,Media,Final_Invaded,U,P
NCUPLO1,Media,Final_Invaded,U,P
NCUPLO2,Media,Final_Invaded,U,P
NDAUHF1,Media,Final_Invaded,A,U
NDAUHF2,Media,Final_Invaded,A,U
NDAUHF3,Media,Final_Invaded,A,U
NDAUHO1,Media,Final_Invaded,A,U
NDAUHO2,Media,Final_Invaded,A,U
NDAUHO3,Media,Final_Invaded,A,U
NDAUKK1,Media,Resident_Control,Killed,U
NDAUKK2,Media,Resident_Control,Killed,U
NDAUKK3,Media,Resident_Control,Killed,U
NDAULF1,Media,Final_Invaded,A,U
NDAULF2,Media,Final_Invaded,A,U
NDAULF3,Media,Final_Invaded,A,U
NDAULO1,Media,Final_Invaded,A,U
NDAULO2,Media,Final_Invaded,A,U
NDAULO3,Media,Final_Invaded,A,U
NDDUHF1,Media,Final_Invaded,D,U
NDDUHF2,Media,Final_Invaded,D,U
NDDUHF3,Media,Final_Invaded,D,U
NDDUHO1,Media,Final_Invaded,D,U
NDDUHO2,Media,Final_Invaded,D,U
NDDUHO3,Media,Final_Invaded,D,U
NDDUKK1,Media,Resident_Control,Killed,U
