Row.names,Environment,Type,Invader_Type,Resident_Type
AASL1R1,Litter,Invader_Inoculum,A,None
AASL1R2,Litter,Invader_Inoculum,A,None
AASLI4C,Litter,Invader_Inoculum,A,None
ADLL1R1,Litter,Invader_Inoculum,D,None
ADLL1R2,Litter,Invader_Inoculum,D,None
ADLLI1A,Litter,Invader_Inoculum,D,None
ADLLI1B,Litter,Invader_Inoculum,D,None
ADLLI4A,Litter,Invader_Inoculum,D,None
APFL1R2,Litter,Invader_Inoculum,P,None
APFL1R3,Litter,Invader_Inoculum,P,None
APFL4R2,Litter,Invader_Inoculum,P,None
APFL4R3,Litter,Invader_Inoculum,P,None
APFLR3A,Litter,Invader_Inoculum,P,None
APFLR3B,Litter,Invader_Inoculum,P,None
APFLS01,Litter,Resident_Control,None,P
APLF002,Litter,Resident_Control,None,P
APLF003,Litter,Resident_Control,None,P
APLFR1A,Litter,Invader_Inoculum,P,None
APLFR1B,Litter,Invader_Inoculum,P,None
APLFR2A,Litter,Invader_Inoculum,P,None
APLFR2B,Litter,Invader_Inoculum,P,None
AUEL1R1,Litter,Invader_Inoculum,U,None
AUEL1R2,Litter,Invader_Inoculum,U,None
AUEL4R1,Litter,Invader_Inoculum,U,None
AUEL4R2,Litter,Invader_Inoculum,U,None
AUEL4R3,Litter,Invader_Inoculum,U,None
BASL1R1,Litter,Invader_Inoculum,A,None
BASL1R2,Litter,Invader_Inoculum,A,None
BASLI4B,Litter,Invader_Inoculum,A,None
BASLI4C,Litter,Invader_Inoculum,A,None
BDDL1R2,Litter,Invader_Inoculum,D,None
BDDLI1B,Litter,Invader_Inoculum,D,None
BDDLI4A,Litter,Invader_Inoculum,D,None
BDDLI4C,Litter,Invader_Inoculum,D,None
BPFL1R1,Litter,Invader_Inoculum,P,None
BPFL1R2,Litter,Invader_Inoculum,P,None
BPFLI4B,Litter,Invader_Inoculum,P,None
BPFLI4C,Litter,Invader_Inoculum,P,None
BUEL1R1,Litter,Invader_Inoculum,U,None
BUELR1A,Litter,Invader_Inoculum,U,None
BUELR1B,Litter,Invader_Inoculum,U,None
BUELR2A,Litter,Invader_Inoculum,U,None
BUELR2B,Litter,Invader_Inoculum,U,None
BUELR3A,Litter,Invader_Inoculum,U,None
BUELR3B,Litter,Invader_Inoculum,U,None
BUELS01,Litter,Resident_Control,None,U
BUELS02,Litter,Resident_Control,None,U
BUELS03,Litter,Resident_Control,None,U
NAAPHF2,Litter,Final_Invaded,A,P
NAAPHF3,Litter,Final_Invaded,A,P
NAAPHO2,Litter,Final_Invaded,A,P
NAAPHO3,Litter,Final_Invaded,A,P
NAAPKK2,Litter,Resident_Control,Killed,P
NAAPLF1,Litter,Final_Invaded,A,P
NAAPLF2,Litter,Final_Invaded,A,P
NAAPLF3,Litter,Final_Invaded,A,P
NAAPLO2,Litter,Final_Invaded,A,P
NAAPLO3,Litter,Final_Invaded,A,P
NADPHF1,Litter,Final_Invaded,D,P
NADPHF2,Litter,Final_Invaded,D,P
NADPHF3,Litter,Final_Invaded,D,P
NADPHO2,Litter,Final_Invaded,D,P
NADPHO3,Litter,Final_Invaded,D,P
NADPKK1,Litter,Resident_Control,Killed,P
NADPLF2,Litter,Final_Invaded,D,P
NADPLO1,Litter,Final_Invaded,D,P
NADPLO2,Litter,Final_Invaded,D,P
NADPLO3,Litter,Final_Invaded,D,P
NAPPHF1,Litter,Resident_Control,P,P
NAPPHF3,Litter,Resident_Control,P,P
NAPPHO2,Litter,Resident_Control,P,P
NAPPKK1,Litter,Resident_Control,Killed,P
NAPPLF1,Litter,Resident_Control,P,P
NAPPLF2,Litter,Resident_Control,P,P
NAPPLF3,Litter,Resident_Control,P,P
NAUPHF1,Litter,Final_Invaded,U,P
NAUPHF2,Litter,Final_Invaded,U,P
NAUPHF3,Litter,Final_Invaded,U,P
NAUPHO1,Litter,Final_Invaded,U,P
NAUPHO3,Litter,Final_Invaded,U,P
NAUPKK1,Litter,Resident_Control,Killed,P
NAUPKK2,Litter,Resident_Control,Killed,P
NAUPKK3,Litter,Resident_Control,Killed,P
NAUPLF2,Litter,Final_Invaded,U,P
NAUPLF3,Litter,Final_Invaded,U,P
NAUPLO2,Litter,Final_Invaded,U,P
NAUPLO3,Litter,Final_Invaded,U,P
NBAUHF1,Litter,Final_Invaded,A,U
NBAUHF2,Litter,Final_Invaded,A,U
NBAUHF3,Litter,Final_Invaded,A,U
NBAUHO1,Litter,Final_Invaded,A,U
NBAUHO2,Litter,Final_Invaded,A,U
NBAUHO3,Litter,Final_Invaded,A,U
NBAUKK1,Litter,Resident_Control,Killed,U
NBAUKK2,Litter,Resident_Control,Killed,U
NBAUKK3,Litter,Resident_Control,Killed,U
NBAULF1,Litter,Final_Invaded,A,U
NBAULF2,Litter,Final_Invaded,A,U
NBAULF3,Litter,Final_Invaded,A,U
NBAULO1,Litter,Final_Invaded,A,U
NBAULO3,Litter,Final_Invaded,A,U
NBDUHF1,Litter,Final_Invaded,D,U
NBDUHF3,Litter,Final_Invaded,D,U
NBDUHO1,Litter,Final_Invaded,D,U
NBDUHO2,Litter,Final_Invaded,D,U
NBDUHO3,Litter,Final_Invaded,D,U
NBDUKK1,Litter,Resident_Control,Killed,U
NBDUKK2,Litter,Resident_Control,Killed,U
NBDUKK3,Litter,Resident_Control,Killed,U
NBDULF1,Litter,Final_Invaded,D,U
NBDULF2,Litter,Final_Invaded,D,U
NBDULF3,Litter,Final_Invaded,D,U
NBDULO1,Litter,Final_Invaded,D,U
NBDULO2,Litter,Final_Invaded,D,U
NBDULO3,Litter,Final_Invaded,D,U
NBPUHF1,Litter,Final_Invaded,P,U
NBPUHF2,Litter,Final_Invaded,P,U
NBPUHO1,Litter,Final_Invaded,P,U
NBPUKK1,Litter,Resident_Control,Killed,U
NBPUKK2,Litter,Resident_Control,Killed,U
NBPUKK3,Litter,Resident_Control,Killed,U
NBPULF2,Litter,Final_Invaded,P,U
NBPULF3,Litter,Final_Invaded,P,U
NBPULO2,Litter,Final_Invaded,P,U
NBPULO3,Litter,Final_Invaded,P,U
NBUUHF1,Litter,Resident_Control,U,U
NBUUHO1,Litter,Resident_Control,U,U
NBUUHO2,Litter,Resident_Control,U,U
NBUUHO3,Litter,Resident_Control,U,U
NBUUKK1,Litter,Resident_Control,Killed,U
NBUUKK2,Litter,Resident_Control,Killed,U
NBUUKK3,Litter,Resident_Control,Killed,U
NBUULF2,Litter,Resident_Control,U,U
NBUULF3,Litter,Resident_Control,U,U
NBUULO2,Litter,Resident_Control,U,U
NBUULO3,Litter,Resident_Control,U,U
AASLI4B,Litter,Invader_Inoculum,A,None
ADDLI4A,Litter,Invader_Inoculum,D,None
BDDL1R1,Litter,Invader_Inoculum,D,None
BUELI1B,Litter,Invader_Inoculum,U,None
BUELI4C,Litter,Invader_Inoculum,U,None
NAAPHF1,Litter,Final_Invaded,A,P
NAAPKK3,Litter,Final_Invaded,Killed,P
NAUPLF1,Litter,Final_Invaded,A,U
NAUPLO1,Litter,Final_Invaded,A,U
NBUUHF2,Litter,Resident_Control,U,U
NBUULO1,Litter,Resident_Control,U,U
