OTUid,domain,v1,phlya,v2,class,v3,order,v4,family,v5,genus,v6
OTU_1,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Pleosporaceae,100%,Alternaria,100%
OTU_2,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Sporormiaceae,100%,Westerdykella,100%
OTU_3,Fungi,100%,Ascomycota,100%,Leotiomycetes,99%,Leotiomycetes incertae sedis,44%,Leotiomycetes incertae sedis,38%,Collophora,38%
OTU_4,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Didymellaceae,100%,Peyronellaea,100%
OTU_5,Fungi,100%,Ascomycota,100%,Eurotiomycetes,100%,Eurotiales,100%,Trichocomaceae,98%,Eupenicillium,78%
OTU_6,Fungi,99%,Basidiomycota,97%,Tremellomycetes,87%,Tremellales,71%,Christianseniaceae,55%,Christiansenia,55%
OTU_7,Fungi,100%,Ascomycota,100%,Eurotiomycetes,100%,Eurotiales,100%,Trichocomaceae,100%,Emericella,56%
OTU_8,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,73%,Montagnulaceae,16%,Karstenula,3%
OTU_9,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Capnodiales,100%,Davidiellaceae,100%,Davidiella,100%
OTU_10,Fungi,99%,Basidiomycota,87%,Tremellomycetes,57%,Tremellales,43%,Christianseniaceae,26%,Christiansenia,26%
OTU_11,Fungi,100%,Basidiomycota,94%,Tremellomycetes,77%,Tremellales,68%,Christianseniaceae,60%,Christiansenia,60%
OTU_13,Fungi,100%,Ascomycota,100%,Eurotiomycetes,100%,Eurotiales,100%,Trichocomaceae,100%,Penicillium,100%
OTU_15,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Sordariales,100%,Chaetomiaceae,77%,Chaetomidium,46%
OTU_16,Fungi,100%,Ascomycota,100%,Eurotiomycetes,100%,Eurotiales,99%,Trichocomaceae,99%,Aspergillus,76%
OTU_17,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Hypocreales,100%,Nectriaceae,100%,Gibberella,76%
OTU_19,Fungi,100%,Ascomycota,100%,Eurotiomycetes,100%,Eurotiales,100%,Trichocomaceae,89%,Chromocleista,87%
OTU_22,Fungi,100%,Ascomycota,98%,Eurotiomycetes,57%,Eurotiales,45%,Elaphomycetaceae,30%,Monascus,30%
OTU_23,Fungi,100%,Ascomycota,100%,Eurotiomycetes,100%,Eurotiales,100%,Trichocomaceae,100%,Chromocleista,99%
OTU_24,Fungi,100%,Ascomycota,100%,Eurotiomycetes,100%,Eurotiales,100%,Trichocomaceae,100%,Aspergillus,98%
OTU_25,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Phaeosphaeriaceae,34%,Phaeosphaeria,20%
OTU_26,Fungi,100%,Ascomycota,100%,Eurotiomycetes,99%,Eurotiales,99%,Elaphomycetaceae,56%,Monascus,56%
